shop_id,name,branchname,alt_name,phone,regionname,address,cross_road,big_category,small_category,longitude,latitude
69910680.0,佳丰北苑,,,,萧山区,飞虹路1077号,,生活服务,小区,120.24617,30.22426
69966404.0,宏立大厦,,,,钱江世纪城,皓月路附近,,生活服务,商务楼,120.252925,30.230989
69980266.0,杭州广建大厦,,,,市心北路,民和路与皓月路交叉口北100米,,生活服务,商务楼,120.254111,30.232756
69985583.0,东方至尊国际中心,,,,市心北路,心北路与皓月路交叉口,,生活服务,商务楼,120.253929,30.236486
69985804.0,亨德利大厦,,,,市心北路,宁围镇飞虹路地铁站C口西200米,,生活服务,商务楼,120.26105,30.231542
69986336.0,诺德财富中心城市客厅,,,83787777,市心北路,皓月路159号,,生活服务,商务楼,120.255473,30.233495
69986441.0,祥腾财富中心,,,,市心北路,国泰科技大厦民和路467号西南方向156米,,生活服务,商务楼,120.25682,30.23054
69989356.0,浙江民营企业发展大厦A座,,,,市心北路,富业巷1,,生活服务,商务楼,120.256264,30.231039
69989434.0,民营企业发展大厦b座,,,,市心北路,富业巷21,,生活服务,商务楼,120.256902,30.231542
69997858.0,佳境天城境合苑4号,,,83872689,市心北路,市心北路737-51号附近,,生活服务,商务楼,120.266839,30.217733
